Comment,Designator,Footprint,LCSC
1n,"C1,C3,C31,C33,C35",C_0402_1005Metric,C1523
100n,"C10,C11,C12,C13,C14,C15,C16,C17,C18,C2,C22,C32,C34,C36,C37,C38,C39,C4,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C5,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C6,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C7,C70,C9",C_0402_1005Metric,C1525
18p,"C19,C20",C_0402_1005Metric,C1549
10u,C30,C_0805_2012Metric,C15850
4.7u,"C21,C8",C_0402_1005Metric,C23733
10k,"R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R2,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R3,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R4,R40,R41,R42,R43,R44,R45,R46,R47,R48,R5,R6,R7,R8,R9",R_0402_1005Metric,C25744
1u,"C27,C28,C29",C_0805_2012Metric,C28323
2u,"C23,C25",C_0805_2012Metric,C45783
BLM18PG221SN1D,"FB1,FB2,FB3",R_0603_1608Metric,C80165
47u,"C24,C26",C_1206_3216Metric,C96123
Conn_01x02_Male,J6,PinHeader_1x02_P2.54mm_Vertical,
Conn_02x21_Odd_Even,J2,PinHeader_2x21_P1.27mm_Horizontal,
Conn_01x02_Male,J9,PinHeader_1x02_P2.54mm_Vertical,
W25Q16JVSNIQ,U4,SOIC-8_5.23x5.23mm_P1.27mm,
1.6k/1%,R1,R_0402_1005Metric,
Conn_02x05_Odd_Even,J5,PinHeader_2x05_P2.54mm_Vertical,
Conn_02x21_Odd_Even,J1,PinHeader_2x21_P1.27mm_Horizontal,
Conn_01x02_Male,J8,PinHeader_1x02_P2.54mm_Vertical,
USB3_B_Micro_Amphenol_GSB343K331HR,J4,AMPHENOL_GSB343K331HR,
Conn_01x02_Male,J7,PinHeader_1x02_P2.54mm_Vertical,
