Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,1n,
C10,0402,1,100n,
C11,0402,1,100n,
C12,0402,1,100n,
C13,0402,1,100n,
C14,0402,1,100n,
C15,0402,1,100n,
C16,0402,1,100n,
C17,0402,1,100n,
C18,0402,1,100n,
C19,0402,1,18p,
C2,0402,1,100n,
C20,0402,1,18p,
C21,0402,1,4.7u,
C22,0402,1,100n,
C23,0805,1,2u,
C24,1206,1,47u,
C25,0805,1,2u,
C26,1206,1,47u,
C27,0805,1,1u,
C28,0805,1,1u,
C29,0805,1,1u,
C3,0402,1,1n,
C30,0805,1,10u,
C31,0402,1,1n,
C32,0402,1,100n,
C33,0402,1,1n,
C34,0402,1,100n,
C35,0402,1,1n,
C36,0402,1,100n,
C37,0402,1,100n,
C38,0402,1,100n,
C39,0402,1,100n,
C4,0402,1,100n,
C40,0402,1,100n,
C41,0402,1,100n,
C42,0402,1,100n,
C43,0402,1,100n,
C44,0402,1,100n,
C45,0402,1,100n,
C46,0402,1,100n,
C47,0402,1,100n,
C48,0402,1,100n,
C49,0402,1,100n,
C5,0402,1,0.1u,
C50,0402,1,100n,
C51,0402,1,100n,
C52,0402,1,100n,
C53,0402,1,100n,
C54,0402,1,100n,
C55,0402,1,100n,
C56,0402,1,100n,
C57,0402,1,100n,
C58,0402,1,100n,
C59,0402,1,100n,
C6,0402,1,0.1u,
C60,0402,1,100n,
C61,0402,1,100n,
C62,0402,1,100n,
C63,0402,1,100n,
C64,0402,1,100n,
C65,0402,1,100n,
C66,0402,1,100n,
C67,0402,1,100n,
C68,0402,1,100n,
C69,0402,1,100n,
C7,0402,1,0.1u,
C70,0402,1,100n,
C8,0402,1,4.7u,
C9,0402,1,100n,
FB1,0603,1,BLM18PG221SN1D,
FB2,0603,1,BLM18PG221SN1D,
FB3,0603,1,BLM18PG221SN1D,
"J1, J2",PinHeader_2x21_P1.27mm_Horizontal,2,Conn_02x21_Odd_Even,
J3,3M_8540-4500PL,1,3M_8540-4500PL,
J4,AMPHENOL_GSB343K331HR,1,USB3_B_Micro_Amphenol_GSB343K331HR,
J5,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"J6, J7, J8, J9",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02_Male,
R1,0402,1,1.6k/1%,
R10,0402,1,10k,
R11,0402,1,100,
R12,0402,1,100,
R13,0402,1,100,
R14,0402,1,100,
R15,0402,1,100,
R16,0402,1,100,
R17,0402,1,100,
R18,0402,1,100,
R19,0402,1,100,
R2,0402,1,10K,
R20,0402,1,100,
R21,0402,1,100,
R22,0402,1,100,
R23,0402,1,100,
R24,0402,1,100,
R25,0402,1,100,
R26,0402,1,100,
R27,0402,1,100,
R28,0402,1,100,
R29,0402,1,100,
R3,0402,1,10K,
R30,0402,1,100,
R31,0402,1,10k,
R32,0402,1,10k,
R33,0402,1,10k,
R34,0402,1,10k,
R35,0402,1,10k,
R36,0402,1,10k,
R37,0402,1,10k,
R38,0402,1,10k,
R39,0402,1,10k,
R4,0402,1,10K,
R40,0402,1,10k,
R41,0402,1,10k,
R42,0402,1,10k,
R43,0402,1,10k,
R44,0402,1,10k,
R45,0402,1,10k,
R46,0402,1,10k,
R47,0402,1,10k,
R48,0402,1,10k,
R5,0402,1,10K,
R6,0402,1,10K,
R7,0402,1,10k,
R8,0402,1,10k,
R9,0402,1,10k,
TP1,TestPoint_Pad_D1.0mm,1,TestPoint,
U1,BGA-484_23.0x23.0mm_Layout22x22_P1.0mm,1,EP2C5F484,
U2,S-PAK-5,1,MIC37302,
U3,QFN-56-1EP_7x7mm_P0.4mm_FT600Q,1,FT600Q-B-T,
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q16JVSNIQ,
U5,SOICN-8LD-PL-1,1,MIC39102,
U6,SOICN-8LD-PL-1,1,MIC49150-1.2,
X1,Oscillator_SMD_IQD_IQXO70-4Pin_7.5x5.0mm,1,FNETHE025,
Y1,Crystal_SMD_0603-2Pin_6.0x3.5mm_HandSoldering,1,ABM7-30.000MHZ-D2Y-T,
