Designator,Mid X,Mid Y,Rotation,Layer
C1,149.0,-75.48,90.0,bottom
C10,140.92,-66.0,0.0,top
C11,144.82,-67.5,0.0,top
C12,139.27,-61.65,0.0,top
C13,139.22,-58.0,0.0,top
C14,149.52,-56.15,180.0,top
C15,125.47,-61.8,0.0,top
C16,141.6,-54.22,270.0,top
C17,149.53,-57.15,180.0,top
C18,144.82,-66.5,0.0,top
C19,156.93,-53.6475,90.0,top
C2,148.0,-75.47,90.0,bottom
C20,156.93,-57.9975,270.0,top
C21,139.2,-56.7,0.0,top
C22,159.8,-64.6,90.0,top
C23,119.0,-76.22,180.0,top
C24,123.375,-76.42,0.0,top
C25,162.25,-65.19,90.0,top
C26,164.55,-65.815,90.0,top
C27,158.95,-80.2,180.0,top
C28,162.45,-80.2,0.0,top
C29,165.3,-80.05,90.0,top
C3,150.9,-75.48,90.0,bottom
C30,169.85,-69.05,180.0,top
C31,139.0,-75.52,270.0,bottom
C32,138.0,-75.48,270.0,bottom
C33,148.0,-87.48,270.0,bottom
C34,149.0,-87.48,270.0,bottom
C35,141.05,-87.5,270.0,bottom
C36,140.0,-87.48,270.0,bottom
C37,142.49,-81.0,0.0,bottom
C38,142.48,-79.0,180.0,bottom
C39,142.49,-84.0,180.0,bottom
C4,152.0,-75.48,90.0,bottom
C40,142.5,-80.0,0.0,bottom
C41,142.49,-83.0,0.0,bottom
C42,142.49,-82.0,0.0,bottom
C43,142.49,-85.0,180.0,bottom
C44,146.52,-80.05,180.0,bottom
C45,146.52,-81.0,180.0,bottom
C46,146.52,-82.0,180.0,bottom
C47,146.52,-83.0,180.0,bottom
C48,145.48,-85.0,0.0,bottom
C49,145.45,-86.0,0.0,bottom
C5,136.93,-56.7,180.0,top
C50,135.0,-91.52,90.0,bottom
C51,154.47,-91.1,180.0,bottom
C52,150.1,-88.48,90.0,bottom
C53,152.4,-86.0,0.0,bottom
C54,137.48,-85.95,0.0,bottom
C55,142.85,-88.43,270.0,bottom
C56,136.67,-81.95,0.0,bottom
C57,140.48,-84.0,0.0,bottom
C58,146.05,-88.4,270.0,bottom
C59,149.05,-83.37,90.0,bottom
C6,143.6,-54.23,270.0,top
C60,134.62,-70.85,180.0,bottom
C61,150.67,-73.8,0.0,bottom
C62,151.52,-77.0,180.0,bottom
C63,143.15,-74.33,90.0,bottom
C64,146.15,-74.35,90.0,bottom
C65,144.68,-73.2,0.0,bottom
C66,138.63,-72.85,180.0,bottom
C67,154.63,-70.85,0.0,bottom
C68,152.72,-80.8,180.0,bottom
C69,144.63,-90.1,0.0,bottom
C7,142.6,-54.23,270.0,top
C70,140.15,-78.37,90.0,bottom
C8,139.22,-59.0,0.0,top
C9,145.08,-54.1,180.0,top
FB1,137.575,-55.4,180.0,top
FB2,137.575,-53.85,0.0,top
FB3,170.0,-71.0,0.0,top
J1,143.21,-101.65,270.0,top
J2,171.15,-101.65,270.0,top
J3,180.9,-100.2,180.0,top
J4,144.45,-48.65,180.0,top
J5,129.5,-49.3,270.0,top
J6,129.95,-67.925,180.0,top
J7,169.2,-61.23,180.0,top
J8,166.0,-73.9,0.0,top
J9,170.0,-76.4,180.0,top
R1,145.06,-53.1,0.0,top
R10,166.3,-64.45,270.0,top
R11,154.49,-83.0,0.0,bottom
R12,154.49,-84.0,0.0,bottom
R13,154.49,-85.0,0.0,bottom
R14,154.49,-86.0,0.0,bottom
R15,154.49,-87.0,0.0,bottom
R16,154.49,-88.0,0.0,bottom
R17,154.49,-89.0,0.0,bottom
R18,154.49,-90.0,0.0,bottom
R19,152.24,-90.2,0.0,bottom
R2,136.51,-80.85,0.0,bottom
R20,154.49,-82.0,0.0,bottom
R21,134.49,-90.0,180.0,bottom
R22,134.51,-89.0,180.0,bottom
R23,134.51,-88.0,180.0,bottom
R24,134.51,-87.0,180.0,bottom
R25,134.51,-86.0,180.0,bottom
R26,134.51,-85.0,180.0,bottom
R27,134.49,-84.0,180.0,bottom
R28,134.51,-83.0,180.0,bottom
R29,136.74,-90.2,180.0,bottom
R3,120.15,-58.36,90.0,top
R30,134.49,-82.0,180.0,bottom
R31,167.35,-64.43,90.0,top
R32,176.69,-97.7,0.0,top
R33,176.69,-92.6,0.0,top
R34,176.69,-90.0,0.0,top
R35,176.71,-87.5,0.0,top
R36,176.69,-85.0,0.0,top
R37,176.69,-82.4,0.0,top
R38,176.69,-79.9,0.0,top
R39,176.69,-77.3,0.0,top
R4,130.65,-57.16,90.0,top
R40,176.69,-74.8,0.0,top
R41,176.69,-72.2,0.0,top
R42,176.69,-69.7,0.0,top
R43,176.69,-67.2,0.0,top
R44,176.69,-64.6,0.0,top
R45,176.69,-62.1,0.0,top
R46,176.69,-59.6,0.0,top
R47,176.79,-57.0,0.0,top
R48,176.79,-54.5,0.0,top
R5,152.85,-82.49,270.0,bottom
R6,150.85,-82.49,270.0,bottom
R7,149.55,-61.5,0.0,top
R8,126.25,-76.21,270.0,top
R9,127.25,-76.21,90.0,top
U1,144.5,-81.5,0.0,top
U2,122.05,-70.73375,90.0,top
U3,144.4,-60.8,180.0,top
U4,125.45,-58.4,0.0,top
U5,164.195,-59.04,90.0,top
U6,161.465,-75.05,90.0,top
X1,155.75,-64.81,270.0,top
Y1,154.35,-55.7375,270.0,top
